lemma	date1	date2	group	annotator1	annotator2	annotator3	annotator4	annotator5	mean	comments1	comments2	comments3	comments4	comments5
Vorwort	1885	1884	later	4	4	4	4	4	4	 	 	 	 	 
Vorwort	1856	1898	later	4	4	4	4	4	4	 	 	 	 	 
Anstalt	1797	1796	earlier	1	1	1	1	1	1	 	 	 	 	 
Motiv	1787	1797	earlier	4	4	3	4	3	3.6	 	 	 	 	 
Museum	1764	1791	earlier	4	4	4	4	4	4	 	 	 	 	 
Museum	1890	1865	later	1	1	4	4	4	2.8	Satz 1: Museen ist eine Art Musaceen (?!) Pflanze	 	 	 	 
englisch	1864	1873	later	4	3	2	4	4	3.4	 	 	 	 	 
Presse	1775	1756	earlier	4	3	2	3	3	3	 	 	 	 	 
Feder	1854	1851	later	4	4	1	4	3	3.2	 	 	 	 	 
packen	1776	1897	compare	4	3	3	3	3	3.2	 	 	 	 	 
billig	1885	1886	later	4	4	4	4	4	4	 	 	 	 	 
billig	1789	1884	compare	1	1	1	0	0	1	 	 	 	zwei verschiedene Wörter	Falsche Lemmatisierung in Satz 1. Hier wurde das Verb zugeordnet, nicht das gesuchte Adjektiv.
Bilanz	1758	1767	earlier	0	0	1	0	0	0	 	In Satz 2 nicht weiter definiert	 	zu wenig Kontext	aus Satz 2 geht nicht hervor, was Bilanz bedeutet.
flott	1789	1893	compare	2	1	1	0	0	1.3333333333	 	 	 	zwei verschiedene Wörter	Vermutlich falsche Lemmatisierung in Satz 2. 
Zufall	1852	1871	later	4	4	4	4	4	4	 	 	 	 	 
englisch	1794	1769	earlier	4	4	3	4	4	3.8	 	 	 	 	 
Vorwort	1764	1764	earlier	4	4	4	4	4	4	 	 	 	 	 
Vorwort	1872	1890	later	4	4	4	4	4	4	 	 	 	 	 
Anstellung	1868	1892	later	2	1	1	1	1	1.2	 	 	 	 	 
billig	1751	1766	earlier	4	1	4	3	2	2.8	 	 	 	 	 
Anstellung	1876	1757	compare	3	1	2	1	2	1.8	 	 	 	 	 
Anstellung	1781	1865	compare	3	4	3	4	3	3.4	 	 	 	 	 
packen	1869	1864	later	4	4	4	4	4	4	 	 	 	 	 
flott	1893	1879	later	2	1	1	0	0	1.3333333333	 	 	 	zwei verschiedene Wörter	Falsche Lemmatisierung in Satz 1.
englisch	1760	1777	earlier	4	2	3	4	4	3.4	 	 	 	 	 
Presse	1766	1759	earlier	2	1	3	2	1	1.8	 	 	 	 	 
Reichstag	1790	1786	earlier	4	3	3	3	4	3.4	 	 	 	 	 
Feine	1879	1882	later	3	3	1	1	2	2	 	 	 	 	 
technisch	1851	1853	later	4	4	4	3	3	3.6	 	 	 	 	 
geharnischt	1769	1797	earlier	2	4	3	3	4	3.2	Satz 2: geharnischt ist empört/wütend (?!)	 	 	 	 
Kinderstube	1787	1787	earlier	3	2	4	3	3	3	 	 	 	 	 
Abend	1780	1780	earlier	4	2	4	2	2	2.8	 	 	 	 	 
Zufall	1791	1776	earlier	1	1	1	2	4	1.8	Satz 1: Zufall ist Anfall	 	 	 	 
Feder	1772	1894	compare	2	1	2	1	3	1.8	 	 	 	 	 
Vorwort	1858	1889	later	3	4	4	4	4	3.8	 	 	 	 	 
technisch	1795	1792	earlier	4	1	3	3	4	3	 	 	 	 	 
Feder	1773	1885	compare	2	1	1	1	2	1.4	 	 	 	 	 
Abend	1852	1864	later	4	4	4	4	4	4	 	 	 	 	 
Kinderstube	1787	1795	earlier	3	2	2	3	0	2.5	 	 	 	 	Kontext in Satz 2 nicht klar. 
Feine	1762	1753	earlier	3	1	1	1	3	1.8	 	 	 	 	 
Vorwort	1890	1764	compare	2	2	1	1	1	1.4	 	 	 	 	 
flott	1893	1854	later	2	1	1	0	0	1.3333333333	 	 	 	zwei verschiedene Wörter	Falsche Lemmatisierung in Satz 1. 
Museum	1794	1794	earlier	4	3	4	4	0	3.75	 	 	 	 	Keine Bedeutung in Satz 1 erschließbar.
Anstalt	1872	1780	compare	0	2	3	2	2	2.25	Satz 2 zu wenig Kontext	 	 	 	 
Vorwort	1758	1764	earlier	3	1	1	1	3	1.8	 	 	 	 	 
Anstalt	1783	1792	earlier	4	1	3	4	4	3.2	 	 	 	 	 
Donnerwetter	1784	1779	earlier	2	4	4	2	3	3	 	 	 	 	 
Presse	1790	1777	earlier	2	3	3	3	2	2.6	 	 	 	 	 
Steckenpferd	1895	1763	compare	3	2	2	3	4	2.8	 	 	 	 	 
Feder	1867	1866	later	4	4	4	4	4	4	 	 	 	 	 
Bilanz	1867	1767	compare	0	0	1	4	4	3	nicht festlegbar	In Satz 2 zwei mögliche Bedeutungen	 	 	 
Anstellung	1868	1878	later	4	4	4	4	4	4	 	 	 	 	 
Presse	1896	1756	compare	4	3	3	4	3	3.4	 	 	 	 	 
Presse	1868	1870	later	4	4	4	4	4	4	 	 	 	 	 
geharnischt	1889	1882	later	4	4	2	4	4	3.6	 	 	 	 	 
Anstellung	1881	1876	later	3	1	1	1	2	1.6	 	 	 	 	 
Anstellung	1799	1791	earlier	3	1	3	4	3	2.8	 	 	 	 	 
Kinderstube	1853	1775	compare	4	4	4	4	4	4	 	 	 	 	 
Feder	1797	1796	earlier	2	1	1	1	4	1.8	 	 	 	 	 
Zufall	1869	1879	later	4	4	4	4	4	4	 	 	 	 	 
flott	1779	1756	earlier	3	4	4	4	2	3.4	 	 	 	 	 
Feder	1797	1789	earlier	0	1	1	0	0	0	nicht festlegbar	 	 	zwei verschiedene Wörter	In Satz 2 scheint Feder ein Eigenname zu sein. Falsche Lemmatisierung.
Anstalt	1774	1870	compare	1	1	1	1	1	1	 	 	 	 	 
Kinderstube	1873	1787	compare	4	2	4	3	4	3.4	 	 	 	 	 
Bilanz	1775	1794	earlier	0	4	2	3	4	3.25	Satz 2 zu wenig Kontext	 	 	 	 
flott	1796	1780	earlier	4	4	4	4	4	4	 	 	 	 	 
Motiv	1796	1774	earlier	0	1	3	0	0	0	Satz 1 zu wenig Kontext	 	 	zwei verschiedene Wörter	Fremdsprachlicher Beleg von Motiv in Satz 1. 
Zufall	1883	1876	later	4	4	3	4	4	3.8	 	 	 	 	 
Anstellung	1791	1791	earlier	4	1	3	4	4	3.2	 	 	 	 	 
Abend	1865	1855	later	4	4	4	4	4	4	 	 	 	 	 
Steckenpferd	1894	1791	compare	4	1	4	1	3	2.6	 	 	 	 	 
Bilanz	1899	1851	later	4	4	4	3	4	3.8	 	 	 	 	 
Reichstag	1787	1876	compare	4	3	4	3	4	3.6	 	 	 	 	 
Zufall	1776	1756	earlier	4	4	3	4	4	3.8	 	 	 	 	 
Feder	1867	1777	compare	2	4	3	4	3	3.2	 	 	 	 	 
Motiv	1855	1795	compare	3	1	4	3	3	2.8	 	 	 	 	 
Anstalt	1871	1868	later	3	4	4	3	4	3.6	 	 	 	 	 
locker	1799	1788	earlier	4	2	2	3	3	2.8	 	 	 	 	 
englisch	1867	1865	later	4	2	3	3	4	3.2	 	 	 	 	 
Vorwort	1764	1764	earlier	4	4	4	4	4	4	 	 	 	 	 
geharnischt	1783	1787	earlier	4	4	3	4	4	3.8	 	 	 	 	 
geharnischt	1794	1753	earlier	4	4	3	4	4	3.8	 	 	 	 	 
Donnerwetter	1897	1852	later	2	1	1	1	1	1.2	 	 	 	 	 
billig	1775	1892	compare	2	1	4	2	2	2.2	 	 	 	 	 
Anstalt	1870	1776	compare	4	1	2	2	4	2.6	 	 	 	 	 
locker	1756	1885	compare	4	2	2	2	3	2.6	 	 	 	 	 
englisch	1894	1891	later	4	4	3	4	4	3.8	 	 	 	 	 
locker	1865	1795	compare	4	3	2	4	3	3.2	 	 	 	 	 
Reichstag	1876	1786	compare	4	3	4	3	4	3.6	 	 	 	 	 
Museum	1855	1863	later	4	4	4	4	4	4	 	 	 	 	 
Kinderstube	1853	1790	compare	3	2	3	4	4	3.2	 	 	 	 	 
technisch	1792	1792	earlier	4	4	4	3	4	3.8	 	 	 	 	 
Museum	1779	1787	earlier	4	1	4	3	4	3.2	 	 	 	 	 
Anstellung	1876	1799	compare	4	1	4	4	3	3.2	 	 	 	 	 
Kinderstube	1894	1771	compare	4	4	4	4	4	4	 	 	 	 	 
Vorwort	1764	1764	earlier	4	4	1	4	4	3.4	 	 	 	 	 
packen	1855	1780	compare	4	4	3	3	4	3.6	 	 	 	 	 
Feder	1752	1767	earlier	2	1	1	1	3	1.6	 	 	 	 	 
locker	1852	1875	later	4	2	2	2	3	2.6	 	 	 	 	 
Abend	1860	1764	compare	4	2	4	4	4	3.6	 	 	 	 	 
Reichstag	1898	1786	compare	4	4	4	3	4	3.8	 	 	 	 	 
Anstalt	1781	1796	earlier	3	4	4	3	2	3.2	 	 	 	 	 
technisch	1863	1781	compare	4	4	2	3	3	3.2	 	 	 	 	 
geharnischt	1794	1753	earlier	4	4	4	4	3	3.8	 	 	 	 	 
locker	1771	1777	earlier	3	1	2	2	3	2.2	 	 	 	 	 
Museum	1859	1764	compare	4	4	4	2	4	3.6	 	 	 	 	 
Motiv	1795	1777	earlier	4	4	4	3	4	3.8	 	 	 	 	 
Presse	1868	1882	later	3	4	4	4	4	3.8	 	 	 	 	 
englisch	1776	1769	earlier	4	1	2	1	1	1.8	 	 	 	 	 
englisch	1879	1779	compare	4	3	2	4	4	3.4	 	 	 	 	 
technisch	1798	1899	compare	4	2	3	3	4	3.2	 	 	 	 	 
Abend	1864	1884	later	4	2	3	2	4	3	 	 	 	 	 
billig	1890	1790	compare	0	1	1	2	0	1.3333333333	Satz 2 zu wenig Kontext	 	 	 	Bedeutung von billig in Satz 2 nicht erschließbar.
Feder	1867	1895	later	2	1	1	1	1	1.2	 	 	 	 	 
Anstalt	1778	1788	earlier	1	1	1	2	4	1.8	 	 	 	 	 
Presse	1773	1762	earlier	2	3	1	1	1	1.6	 	 	 	 	 
Zufall	1759	1796	earlier	4	3	4	4	4	3.8	 	 	 	 	 
Feder	1884	1858	later	4	4	4	4	4	4	 	 	 	 	 
Presse	1756	1798	earlier	2	3	2	3	1	2.2	 	 	 	 	 
technisch	1856	1890	later	4	3	3	4	4	3.6	 	 	 	 	 
packen	1778	1796	earlier	4	4	4	4	3	3.8	 	 	 	 	 
Steckenpferd	1776	1774	earlier	2	2	2	1	3	2	 	 	 	 	 
Bilanz	1885	1867	later	4	4	4	4	4	4	 	 	 	 	 
Kinderstube	1871	1760	compare	3	3	3	3	4	3.2	 	 	 	 	 
Steckenpferd	1777	1894	compare	3	4	1	4	3	3	 	 	 	 	 
Reichstag	1882	1792	compare	4	3	3	3	0	3.25	 	 	 	 	Bedeutung von Reichstag in Satz 1 nicht eindeutig festzulegen.
Steckenpferd	1792	1795	earlier	2	1	1	1	3	1.6	 	 	 	 	 
Reichstag	1876	1758	compare	3	3	4	3	4	3.4	 	 	 	 	 
Steckenpferd	1898	1894	later	4	4	4	4	4	4	 	 	 	 	 
geharnischt	1890	1882	later	2	4	2	1	0	2.25	 	 	 	 	Bedeutung von geharnischt in Satz 2 nicht eindeutig festzulegen.
Donnerwetter	1875	1786	compare	2	1	1	1	1	1.2	 	 	 	 	 
Kinderstube	1876	1864	later	3	1	4	4	4	3.2	 	 	 	 	 
geharnischt	1791	1778	earlier	4	4	4	4	4	4	 	 	 	 	 
Vorwort	1764	1852	compare	2	1	4	1	1	1.8	 	 	 	 	 
Vorwort	1764	1771	earlier	4	4	4	4	4	4	 	 	 	 	 
Anstalt	1868	1775	compare	3	1	3	1	3	2.2	 	 	 	 	 
Feine	1756	1755	earlier	3	1	3	2	2	2.2	 	 	 	 	 
Feine	1897	1895	later	4	2	3	3	2	2.8	 	 	 	 	 
geharnischt	1763	1854	compare	2	1	2	3	2	2	 	 	 	 	 
Reichstag	1792	1786	earlier	4	4	4	4	4	4	 	 	 	 	 
Feder	1791	1789	earlier	4	2	2	3	4	3	 	 	 	 	 
Anstellung	1781	1785	earlier	3	1	2	1	2	1.8	 	 	 	 	 
Motiv	1887	1795	compare	4	1	2	1	1	1.8	 	 	 	 	 
englisch	1759	1799	earlier	4	3	4	0	4	3.75	 	 	 	unklarer Kontext	 
locker	1756	1889	compare	4	2	2	2	3	2.6	 	 	 	 	 
Feder	1796	1750	earlier	4	4	4	3	4	3.8	 	 	 	 	 
Anstellung	1896	1885	later	4	4	4	4	4	4	 	 	 	 	 
geharnischt	1778	1890	compare	4	4	4	4	4	4	 	 	 	 	 
flott	1792	1893	compare	2	1	1	0	0	1.3333333333	 	 	 	zwei verschiedene Wörter	fFalsche Lemmatisierung von Flotte in Satz 2.
Motiv	1879	1896	later	0	4	4	1	4	3.25	Satz 2 zu wenig Kontext	 	 	 	 
Donnerwetter	1777	1796	earlier	4	4	4	4	4	4	 	 	 	 	 
Motiv	1895	1777	compare	3	1	1	1	2	1.6	 	 	 	 	 
Feder	1751	1769	earlier	4	3	2	2	4	3	 	 	 	 	 
englisch	1870	1767	compare	4	4	3	4	4	3.8	 	 	 	 	 
Bilanz	1867	1758	compare	4	4	3	3	4	3.6	 	 	 	 	 
geharnischt	1792	1795	earlier	4	4	4	4	4	4	 	 	 	 	 
Vorwort	1899	1789	compare	3	1	3	2	3	2.4	 	 	 	 	 
Reichstag	1878	1894	later	4	4	4	3	4	3.8	 	 	 	 	 
Vorwort	1855	1764	compare	2	2	1	1	1	1.4	 	 	 	 	 
Vorwort	1855	1887	later	4	4	4	4	4	4	 	 	 	 	 
Anstellung	1885	1897	later	4	4	4	4	4	4	 	 	 	 	 
billig	1754	1756	earlier	4	3	2	2	3	2.8	angemessen	 	 	 	 
Reichstag	1786	1876	compare	3	4	4	4	4	3.8	 	 	 	 	 
Abend	1794	1760	earlier	4	4	4	4	4	4	 	 	 	 	 
packen	1869	1866	later	4	4	4	4	4	4	 	 	 	 	 
Steckenpferd	1791	1889	compare	0	0	0	0	0	0	Satz 2 zu wenig Kontext	Kein erkennbarer Kontext in Satz 2	Bedeutung in Satz 2 nicht erschliessbar	zu wenig Kontext	Bedeutung von Steckenpferd in Satz 2 nicht erschließbar.
locker	1875	1850	later	4	3	2	3	3	3	 	 	 	 	 
Steckenpferd	1792	1796	earlier	3	4	1	4	3	3	 	 	 	 	 
technisch	1870	1797	compare	4	1	2	3	3	2.6	 	 	 	 	 
geharnischt	1788	1763	earlier	2	3	2	3	2	2.4	 	 	 	 	 
Feder	1894	1782	compare	0	0	4	0	0	0	Satz 2 zu wenig Kontext	Kein erkennbarer Kontext in Satz 2	 	zu wenig Kontext	Bedeutung von Feder in Satz 2 nicht eindeutig erschließbar.
Steckenpferd	1871	1899	later	4	4	4	4	4	4	 	 	 	 	 
Anstellung	1799	1793	earlier	3	1	2	2	3	2.2	 	 	 	 	 
Vorwort	1771	1767	earlier	4	4	4	4	4	4	 	 	 	 	 
billig	1896	1792	compare	0	1	1	1	1	1	Satz 2 zu wenig Kontext	 	 	 	 
packen	1772	1783	earlier	2	1	2	1	0	1.5	 	 	 	 	Lemmatisierung von packen in Satz 1 falsch.
Abend	1893	1776	compare	4	3	4	4	4	3.8	 	 	 	 	 
Bilanz	1794	1855	compare	0	1	3	2	3	2.25	Satz 1 zu wenig Kontext	 	 	 	 
Feine	1756	1756	earlier	4	4	4	3	4	3.8	 	 	 	 	 
Vorwort	1888	1898	later	4	1	4	4	0	3.25	 	 	 	 	Bedeutung von Vorwort in Satz 1 nicht eindeutig erschließbar.
Museum	1782	1783	earlier	4	3	4	0	4	3.75	 	 	 	unklarer Kontext	 
locker	1869	1864	later	3	2	2	3	3	2.6	 	 	 	 	 
Motiv	1796	1885	compare	4	4	4	4	4	4	 	 	 	 	 
Motiv	1794	1789	earlier	4	4	4	4	4	4	 	 	 	 	 
Presse	1895	1868	later	4	4	4	4	4	4	 	 	 	 	 
Abend	1776	1864	compare	3	2	4	2	4	3	 	 	 	 	 
flott	1895	1779	compare	3	1	2	1	3	2	 	 	 	 	 
Presse	1869	1868	later	4	4	3	4	4	3.8	 	 	 	 	 
Vorwort	1764	1889	compare	2	2	1	1	1	1.4	 	 	 	 	 
geharnischt	1889	1753	compare	4	1	4	1	4	2.8	 	 	 	 	 
technisch	1781	1787	earlier	4	2	4	2	4	3.2	 	 	 	 	 
flott	1874	1865	later	3	1	3	1	2	2	 	 	 	 	 
technisch	1853	1886	later	3	1	3	2	2	2.2	 	 	 	 	 
Zufall	1868	1855	later	4	4	4	4	4	4	 	 	 	 	 
billig	1897	1868	later	2	1	1	1	1	1.2	 	 	 	 	 
flott	1792	1783	earlier	3	2	3	0	0	2.6666666667	 	 	 	zwei verschiedene Wörter	Flott in beiden Sätzen falsch lemmatisiert. Links ist es ein Substantiv, rechts offensichtlich ein 
Reichstag	1767	1786	earlier	4	4	3	3	4	3.6	 	 	 	 	 
billig	1792	1786	earlier	4	4	4	3	3	3.6	 	 	 	 	 
packen	1882	1883	later	4	2	3	4	4	3.4	 	 	 	 	 
Bilanz	1881	1872	later	4	2	4	3	4	3.4	 	 	 	 	 
technisch	1867	1793	compare	4	4	3	2	3	3.2	 	 	 	 	 
Abend	1797	1767	earlier	4	4	4	4	4	4	 	 	 	 	 
englisch	1757	1792	earlier	0	2	3	0	3	2.6666666667	Satz 1 zu wenig Kontext	 	 	unklarer Kontext	 
Anstalt	1780	1782	earlier	4	1	4	1	1	2.2	 	 	 	 	 
flott	1871	1795	compare	3	1	3	1	2	2	 	 	 	 	 
Motiv	1889	1886	later	4	1	4	4	3	3.2	 	 	 	 	 
Abend	1854	1860	later	4	4	4	4	4	4	 	 	 	 	 
flott	1852	1880	later	3	1	3	2	2	2.2	 	 	 	 	 
Donnerwetter	1875	1889	later	3	1	3	2	2	2.2	 	 	 	 	 
Museum	1779	1778	earlier	4	3	4	4	4	3.8	 	 	 	 	 
Presse	1894	1868	later	4	4	4	4	4	4	 	 	 	 	 
locker	1863	1894	later	3	2	3	3	4	3	 	 	 	 	 
technisch	1781	1792	earlier	4	1	3	3	3	2.8	 	 	 	 	 
Museum	1896	1788	compare	4	3	4	4	4	3.8	 	 	 	 	 
Presse	1889	1889	later	2	1	1	1	1	1.2	 	 	 	 	 
Bilanz	1894	1893	later	4	2	4	3	4	3.4	 	 	 	 	 
Feine	1899	1897	later	2	1	1	1	1	1.2	 	 	 	 	 
flott	1780	1893	compare	2	2	1	0	0	1.6666666667	 	 	 	zwei verschiedene Wörter	In Satz 2 ist flott falsch lemmatisiert.
Motiv	1857	1855	later	4	1	3	4	3	3	 	 	 	 	 
Steckenpferd	1790	1779	earlier	4	1	2	2	1	2	 	 	 	 	 
Kinderstube	1898	1871	later	3	2	3	3	2	2.6	 	 	 	 	 
flott	1778	1780	earlier	4	4	4	4	4	4	 	 	 	 	 
Feine	1887	1756	compare	3	2	4	2	3	2.8	 	 	 	 	 
flott	1776	1779	earlier	2	1	1	1	1	1.2	 	 	 	 	 
Museum	1764	1799	earlier	4	3	4	4	4	3.8	 	 	 	 	 
Anstellung	1899	1898	later	4	4	4	4	4	4	 	 	 	 	 
Abend	1787	1773	earlier	4	4	3	3	4	3.6	 	 	 	 	 
Donnerwetter	1784	1789	earlier	4	3	4	3	4	3.6	 	 	 	 	 
Anstellung	1790	1894	compare	4	3	4	4	4	3.8	 	 	 	 	 
Reichstag	1876	1876	later	4	3	3	4	4	3.6	 	 	 	 	 
Reichstag	1773	1787	earlier	4	3	4	3	4	3.6	 	 	 	 	 
Motiv	1789	1786	earlier	4	4	4	4	4	4	 	 	 	 	 
Abend	1780	1894	compare	4	4	4	4	4	4	 	 	 	 	 
locker	1789	1753	earlier	4	3	3	4	3	3.4	 	 	 	 	 
englisch	1776	1889	compare	4	1	4	1	1	2.2	 	 	 	 	 
Museum	1791	1764	earlier	4	4	3	4	4	3.8	 	 	 	 	 
Donnerwetter	1784	1889	compare	3	1	3	1	1	1.8	 	 	 	 	 
technisch	1792	1788	earlier	4	4	2	3	3	3.2	 	 	 	 	 
Zufall	1873	1865	later	4	4	4	4	4	4	 	 	 	 	 
geharnischt	1795	1882	compare	2	1	2	1	1	1.4	 	 	 	 	 
locker	1771	1869	compare	4	4	4	4	4	4	 	 	 	 	 
Donnerwetter	1784	1751	earlier	4	4	4	3	3	3.6	 	 	 	 	 
geharnischt	1854	1797	compare	4	4	4	3	4	3.8	 	 	 	 	 
Feine	1756	1895	compare	2	1	3	3	3	2.4	 	 	 	 	 
Anstalt	1779	1785	earlier	1	3	1	2	1	1.6	 	 	 	 	 
englisch	1774	1784	earlier	3	2	3	0	3	2.75	 	 	 	unklarer Kontext Satz 1	 
Zufall	1863	1875	later	4	3	4	4	4	3.8	 	 	 	 	 
locker	1795	1798	earlier	4	2	3	4	3	3.2	 	 	 	 	 
geharnischt	1882	1890	later	2	1	3	1	1	1.6	 	 	 	 	 
Zufall	1858	1789	compare	4	4	4	3	4	3.8	 	 	 	 	 
Museum	1778	1794	earlier	4	2	4	4	0	3.5	 	 	 	 	Bedeutung von Museum in Satz 2 nicht anhand des Kontexts erschließbar.
Reichstag	1787	1876	compare	4	3	3	2	4	3.2	 	 	 	 	 
Steckenpferd	1785	1767	earlier	4	4	4	4	4	4	 	 	 	 	 
Steckenpferd	1860	1899	later	2	3	1	2	2	2	 	 	 	 	 
packen	1775	1869	compare	2	1	2	1	0	1.5	 	 	 	 	Packen in Satz 1 falsch lemmatisiert.
Museum	1791	1764	earlier	4	3	4	4	4	3.8	 	 	 	 	 
geharnischt	1785	1861	compare	3	1	2	1	1	1.6	 	 	 	 	 
Vorwort	1881	1878	later	4	4	4	4	4	4	 	 	 	 	 
Abend	1856	1792	compare	4	4	4	3	4	3.8	 	 	 	 	 
englisch	1760	1878	compare	4	3	4	1	4	3.2	 	 	 	 	 
Donnerwetter	1776	1757	earlier	2	2	4	2	3	2.6	 	 	 	 	 
Anstalt	1786	1868	compare	4	1	2	2	3	2.4	 	 	 	 	 
Kinderstube	1790	1778	earlier	3	3	3	3	4	3.2	 	 	 	 	 
Donnerwetter	1899	1862	later	2	1	1	1	4	1.8	 	 	 	 	 
Presse	1896	1774	compare	2	2	3	3	4	2.8	 	 	 	 	 
Donnerwetter	1784	1784	earlier	4	4	4	4	4	4	 	 	 	 	 
Motiv	1792	1795	earlier	4	4	4	4	4	4	 	 	 	 	 
Presse	1774	1792	earlier	4	4	4	4	4	4	 	 	 	 	 
Vorwort	1794	1764	earlier	2	1	1	1	1	1.2	 	 	 	 	 
Abend	1774	1750	earlier	4	4	4	3	4	3.8	 	 	 	 	 
Feder	1772	1867	compare	2	1	1	1	2	1.4	 	 	 	 	 
Vorwort	1764	1764	earlier	4	4	1	4	4	3.4	 	 	 	 	 
locker	1878	1866	later	4	3	3	4	3	3.4	 	 	 	 	 
Zufall	1756	1871	compare	4	4	4	4	4	4	 	 	 	 	 
packen	1857	1854	later	4	3	3	4	4	3.6	 	 	 	 	 
Anstellung	1799	1783	earlier	4	4	4	4	4	4	 	 	 	 	 
Motiv	1796	1791	earlier	4	2	4	4	3	3.4	 	 	 	 	 
Presse	1899	1789	compare	4	2	2	1	2	2.2	 	 	 	 	 
Motiv	1858	1877	later	4	4	4	4	2	3.6	 	 	 	 	 
Anstalt	1866	1857	later	2	2	1	1	1	1.4	 	 	 	 	 
Museum	1867	1855	later	4	3	4	4	4	3.8	 	 	 	 	 
Motiv	1793	1877	compare	4	1	4	3	3	3	 	 	 	 	 
Anstellung	1868	1791	compare	3	1	3	4	1	2.4	 	 	 	 	 
billig	1792	1755	earlier	4	3	4	4	2	3.4	angemessen	 	 	 	 
Zufall	1791	1854	compare	1	1	1	1	1	1	 	 	 	 	 
Abend	1780	1783	earlier	3	3	3	3	2	2.8	 	 	 	 	 
Abend	1779	1867	compare	4	4	4	4	4	4	 	 	 	 	 
Donnerwetter	1784	1861	compare	2	1	1	1	1	1.2	 	 	 	 	 
flott	1895	1861	later	2	1	1	1	1	1.2	 	 	 	 	 
Bilanz	1796	1860	compare	3	2	4	3	1	2.6	 	 	 	 	 
billig	1762	1895	compare	1	1	3	1	3	1.8	 	 	 	 	 
Anstellung	1799	1792	earlier	4	1	4	4	4	3.4	 	 	 	 	 
flott	1893	1893	later	4	2	4	4	0	3.5	 	 	 	 	Falsche Lemmatisierung in Satz 1 und 2. 
billig	1787	1858	compare	3	3	3	2	2	2.6	 	 	 	 	 
flott	1861	1772	compare	0	1	1	1	0	1	Satz 2 zu wenig Kontext	 	 	 	In Satz 2 handelt es sich um einen teilweise fremdsprachlichen Beleg. Vermutlich falsche Lemmatisier
Feine	1756	1897	compare	2	1	2	2	1	1.6	 	 	 	 	 
Motiv	1887	1873	later	4	4	4	4	3	3.8	 	 	 	 	 
locker	1776	1890	compare	4	2	2	3	2	2.6	 	 	 	 	 
Anstellung	1756	1757	earlier	4	1	4	4	1	2.8	 	 	 	 	 
Reichstag	1876	1878	later	3	4	4	2	3	3.2	 	 	 	 	 
englisch	1777	1791	earlier	3	2	3	4	3	3	 	 	 	 	 
billig	1899	1876	later	4	4	3	4	3	3.6	 	 	 	 	 
Anstalt	1799	1868	compare	3	1	3	2	1	2	 	 	 	 	 
Zufall	1871	1853	later	4	4	4	4	4	4	 	 	 	 	 
billig	1896	1873	later	2	1	1	1	1	1.2	Satz 2 billig ist angemessen	 	 	 	 
Zufall	1786	1791	earlier	1	4	1	2	1	1.8	 	 	 	 	 
locker	1889	1782	compare	4	3	3	3	3	3.2	 	 	 	 	 
Bilanz	1894	1899	later	4	3	4	3	3	3.4	 	 	 	 	 
Anstalt	1780	1861	compare	1	1	1	2	3	1.6	 	 	 	 	 
geharnischt	1855	1792	compare	4	3	3	3	4	3.4	 	 	 	 	 
Feine	1769	1853	compare	3	1	1	1	2	1.6	 	 	 	 	 
Motiv	1795	1799	earlier	4	2	2	3	2	2.6	 	 	 	 	 
Anstellung	1779	1792	earlier	4	1	3	1	1	2	 	 	 	 	 
Zufall	1789	1873	compare	4	2	1	2	3	2.4	 	 	 	 	 
packen	1882	1779	compare	4	1	2	1	3	2.2	 	 	 	 	 
Motiv	1796	1851	compare	4	1	1	0	4	2.5	 	 	 	zu wenig Kontext	 
englisch	1889	1858	later	4	3	3	3	4	3.4	 	 	 	 	 
Donnerwetter	1796	1862	compare	3	4	4	0	4	3.75	 	 	 	zu wenig Kontext	 
Feine	1854	1879	later	3	3	2	1	1	2	 	 	 	 	 
Vorwort	1764	1771	earlier	2	1	1	1	1	1.2	 	 	 	 	 
englisch	1871	1891	later	4	3	3	3	4	3.4	 	 	 	 	 
Motiv	1789	1790	earlier	4	4	3	3	4	3.6	 	 	 	 	 
Presse	1780	1753	earlier	2	1	1	1	1	1.2	 	 	 	 	 
Anstalt	1778	1754	earlier	1	1	4	0	0	2	 	 	 	zu wenig Kontext	Kontext in Satz 2 uneindeutig.
billig	1898	1792	compare	3	4	1	4	1	2.6	 	 	 	 	 
geharnischt	1753	1874	compare	4	4	4	4	4	4	 	 	 	 	 
Vorwort	1858	1773	compare	3	1	2	2	1	1.8	 	 	 	 	 
Steckenpferd	1788	1860	compare	4	4	1	4	4	3.4	 	 	 	 	 
locker	1859	1875	later	3	1	1	3	2	2	 	 	 	 	 
Kinderstube	1778	1869	compare	3	1	3	3	4	2.8	 	 	 	 	 
Motiv	1789	1868	compare	4	4	2	4	2	3.2	 	 	 	 	 
Donnerwetter	1767	1784	earlier	3	4	3	2	4	3.2	 	 	 	 	 
technisch	1894	1781	compare	4	3	3	3	3	3.2	 	 	 	 	 
Donnerwetter	1893	1889	later	4	1	4	4	4	3.4	 	 	 	 	 
Feine	1852	1766	compare	3	2	1	1	3	2	 	 	 	 	 
Museum	1764	1872	compare	4	4	4	4	4	4	 	 	 	 	 
Donnerwetter	1784	1792	earlier	4	2	4	3	4	3.4	 	 	 	 	 
geharnischt	1753	1773	earlier	4	4	3	3	4	3.6	 	 	 	 	 
Feine	1766	1767	earlier	2	2	1	2	2	1.8	 	 	 	 	 
